
    # |      % | total% | amount | word
 ---------------------------------------
  369 |  0.026 | 67.117 |    525 | kept 
  370 |  0.026 | 67.143 |    520 | country 
  371 |  0.026 | 67.169 |    519 | case 
  372 |  0.026 | 67.195 |    512 | king 
  373 |  0.026 | 67.220 |    507 | table 
  374 |  0.025 | 67.246 |    503 | body 
  375 |  0.025 | 67.271 |    500 | i'll 
  376 |  0.025 | 67.296 |    498 | evening 
  377 |  0.025 | 67.321 |    497 | call 
  378 |  0.025 | 67.346 |    497 | town 
  379 |  0.025 | 67.371 |    497 | pretty 
  380 |  0.025 | 67.396 |    496 | wife 
  381 |  0.025 | 67.421 |    496 | given 
  382 |  0.025 | 67.446 |    491 | manner 
  383 |  0.025 | 67.471 |    491 | ship 
  384 |  0.025 | 67.495 |    488 | sleep 
  385 |  0.024 | 67.520 |    486 | until 
  386 |  0.024 | 67.544 |    484 | returned 
  387 |  0.024 | 67.568 |    484 | soul 
  388 |  0.024 | 67.593 |    483 | answer 
  389 |  0.024 | 67.617 |    482 | themselves 
  390 |  0.024 | 67.641 |    482 | lost 
  391 |  0.024 | 67.666 |    481 | care 
  392 |  0.024 | 67.690 |    481 | hold 
  393 |  0.024 | 67.714 |    480 | free 
  394 |  0.024 | 67.738 |    477 | everything 
  395 |  0.024 | 67.762 |    473 | sight 
  396 |  0.024 | 67.786 |    472 | ready 
  397 |  0.024 | 67.809 |    471 | talk 
  398 |  0.024 | 67.833 |    470 | large 
  399 |  0.024 | 67.857 |    470 | friends 
  400 |  0.024 | 67.880 |    470 | feeling 
  401 |  0.024 | 67.904 |    469 | hair 
  402 |  0.024 | 67.928 |    469 | turn 
  403 |  0.024 | 67.951 |    468 | itself 
  404 |  0.023 | 67.975 |    465 | else 
  405 |  0.023 | 67.998 |    465 | held 
  406 |  0.023 | 68.021 |    463 | holmes 
  407 |  0.023 | 68.045 |    462 | forth 
  408 |  0.023 | 68.068 |    462 | agreement 
  409 |  0.023 | 68.091 |    461 | eye 
  410 |  0.023 | 68.114 |    461 | arms 
  411 |  0.023 | 68.138 |    459 | close 
  412 |  0.023 | 68.161 |    458 | sun 
  413 |  0.023 | 68.184 |    457 | states 
  414 |  0.023 | 68.207 |    455 | spirit 
  415 |  0.023 | 68.229 |    453 | fell 
  416 |  0.023 | 68.252 |    452 | person 
  417 |  0.023 | 68.275 |    449 | human 
  418 |  0.023 | 68.297 |    448 | known 
  419 |  0.023 | 68.320 |    448 | yourself 
  420 |  0.023 | 68.343 |    447 | above 
  421 |  0.022 | 68.365 |    446 | four 
  422 |  0.022 | 68.387 |    445 | means 
  423 |  0.022 | 68.410 |    444 | spoke 
  424 |  0.022 | 68.432 |    444 | girl 
  425 |  0.022 | 68.454 |    443 | idea 
  426 |  0.022 | 68.477 |    443 | power 
  427 |  0.022 | 68.499 |    443 | laid 
  428 |  0.022 | 68.521 |    442 | can't 
  429 |  0.022 | 68.544 |    439 | cold 
  430 |  0.022 | 68.565 |    436 | doubt 
  431 |  0.022 | 68.587 |    435 | need 
  432 |  0.022 | 68.609 |    434 | suddenly 
  433 |  0.022 | 68.631 |    432 | therefore 
  434 |  0.022 | 68.653 |    432 | understand 
  435 |  0.022 | 68.675 |    432 | received 
  436 |  0.022 | 68.696 |    432 | change 
  437 |  0.022 | 68.718 |    429 | sound 
  438 |  0.022 | 68.740 |    429 | deep 
  439 |  0.022 | 68.761 |    429 | doctor 
  440 |  0.022 | 68.783 |    427 | land 
  441 |  0.022 | 68.804 |    427 | wanted 
  442 |  0.021 | 68.826 |    426 | seem 
  443 |  0.021 | 68.847 |    426 | saying 
  444 |  0.021 | 68.869 |    425 | earth 
  445 |  0.021 | 68.890 |    425 | girls 
  446 |  0.021 | 68.911 |    423 | short 
  447 |  0.021 | 68.932 |    420 | reason 
  448 |  0.021 | 68.954 |    419 | making 
  449 |  0.021 | 68.975 |    419 | public 
  450 |  0.021 | 68.996 |    418 | point 
  451 |  0.021 | 69.017 |    417 | suppose 
  452 |  0.021 | 69.038 |    417 | return 
